觀測時間(hour),氣溫(℃),露點溫度(℃),相對溼度(%),AH(g/m³)
2024-04-24-10,29.8,20.7,58,17.489
2024-04-24-11,30.0,20.3,56,17.052
2024-04-24-12,28.2,21.8,68,18.809
2024-04-24-13,27.5,23.5,79,20.901
2024-04-24-14,27.8,22.5,73,19.654
2024-04-24-15,28.0,22.3,71,19.404
2024-04-24-16,27.2,23.3,79,20.671
2024-04-24-17,26.2,24.2,89,21.893
2024-04-24-18,26.0,24.1,89,21.777
2024-04-24-19,26.1,23.2,84,20.622
2024-04-24-20,25.7,23.4,87,20.9
2024-04-24-21,25.8,23.5,87,21.02
2024-04-24-22,25.7,23.6,88,21.154
2024-04-24-23,25.6,23.5,88,21.034
2024-04-24-24,25.3,23.2,88,20.677
2024-04-25-01,25.6,22.7,84,20.041
2024-04-25-02,25.1,22.8,87,20.196
2024-04-25-03,25.1,22.6,86,19.953
2024-04-25-04,25.3,22.6,85,19.939
2024-04-25-05,25.2,22.7,86,20.067
2024-04-25-06,24.5,23.5,94,21.111
2024-04-25-07,23.5,23.0,97,20.553
2024-04-25-08,23.9,23.2,96,20.775
2024-04-25-09,24.8,23.2,91,20.712
2024-04-25-10,25.1,23.2,89,20.691
2024-04-25-11,25.8,23.9,89,21.532
2024-04-25-12,26.6,22.9,80,20.217
2024-04-25-13,25.8,22.7,83,20.027
2024-04-25-14,24.6,23.7,95,21.36
2024-04-25-15,24.6,24.1,97,21.88
2024-04-25-16,24.3,24.0,98,21.771
2024-04-25-17,24.1,23.8,98,21.525
2024-04-25-18,23.6,23.1,97,20.67
2024-04-25-19,23.5,23.0,97,20.553
2024-04-25-20,23.1,22.9,99,20.456
2024-04-25-21,22.9,22.6,98,20.101
2024-04-25-22,22.9,22.4,97,19.858
2024-04-25-23,23.6,21.5,88,18.754
2024-04-25-24,23.8,21.5,87,18.741
2024-04-26-01,24.5,21.8,85,19.043
2024-04-26-02,24.4,22.3,88,19.639
2024-04-26-03,24.6,23.0,91,20.477
2024-04-26-04,24.8,23.8,94,21.474
2024-04-26-05,24.6,23.6,94,21.232
2024-04-26-06,24.8,23.8,94,21.474
2024-04-26-07,24.8,23.8,94,21.474
2024-04-26-08,25.0,23.8,93,21.46
2024-04-26-09,24.7,24.0,96,21.741
2024-04-26-10,22.5,21.0,91,18.255
2024-04-26-11,22.9,21.0,89,18.23
2024-04-26-12,23.0,21.5,91,18.792
2024-04-26-13,22.7,21.7,94,19.042
2024-04-26-14,21.8,21.3,97,18.638
2024-04-26-15,21.9,20.9,94,18.18
2024-04-26-16,22.5,21.0,91,18.255
2024-04-26-17,23.7,20.5,82,17.63
2024-04-26-18,23.8,20.2,80,17.301
2024-04-26-19,24.9,19.5,72,16.505
2024-04-26-20,24.1,20.0,78,17.071
2024-04-26-21,23.8,20.2,80,17.301
2024-04-26-22,24.3,20.6,80,17.703
2024-04-26-23,24.6,20.9,80,18.015
2024-04-26-24,24.3,21.4,84,18.595
2024-04-27-01,23.9,22.3,91,19.672
2024-04-27-02,24.3,22.2,88,19.526
2024-04-27-03,24.2,22.6,91,20.013
2024-04-27-04,24.2,22.5,90,19.892
2024-04-27-05,24.0,21.9,88,19.192
2024-04-27-06,24.1,22.9,93,20.387
2024-04-27-07,24.0,23.0,94,20.518
2024-04-27-08,24.1,23.1,94,20.635
2024-04-27-09,24.1,23.3,95,20.886
2024-04-27-10,24.2,23.4,95,21.006
2024-04-27-11,23.9,22.7,93,20.155
2024-04-27-12,23.7,22.5,93,19.926
2024-04-27-13,24.6,22.5,88,19.865
2024-04-27-14,26.2,22.5,80,19.759
2024-04-27-15,26.3,21.5,75,18.584
2024-04-27-16,27.4,21.0,68,17.957
2024-04-27-17,27.3,21.4,70,18.41
2024-04-27-18,26.5,21.7,75,18.801
2024-04-27-19,26.7,21.5,73,18.56
2024-04-27-20,26.6,21.6,74,18.68
2024-04-27-21,26.6,21.2,72,18.228
2024-04-27-22,25.9,22.6,82,19.899
2024-04-27-23,25.3,22.8,86,20.183
2024-04-27-24,24.9,23.0,89,20.456
2024-04-28-01,23.3,22.1,93,19.473
2024-04-28-02,23.3,22.5,95,19.952
2024-04-28-03,22.3,21.6,96,18.952
2024-04-28-04,22.3,21.5,95,18.836
2024-04-28-05,22.0,20.5,91,17.732
2024-04-28-06,22.7,20.4,87,17.581
2024-04-28-07,23.4,21.7,90,18.997
2024-04-28-08,23.5,21.4,88,18.645
2024-04-28-09,25.0,20.9,78,17.991
2024-04-28-10,25.8,21.5,77,18.616
2024-04-28-11,25.8,20.8,74,17.833
2024-04-28-12,25.4,20.7,75,17.747
2024-04-28-13,25.8,20.8,74,17.833
2024-04-28-14,26.2,19.4,66,16.332
2024-04-28-15,26.9,19.5,64,16.395
2024-04-28-16,27.9,20.7,65,17.6
2024-04-28-17,28.5,21.3,65,18.224
2024-04-28-18,28.6,21.1,64,17.996
2024-04-28-19,27.9,21.5,68,18.486
2024-04-28-20,27.5,22.2,73,19.318
2024-04-28-21,27.3,22.1,73,19.214
2024-04-28-22,26.5,22.4,78,19.62
2024-04-28-23,25.8,23.7,88,21.274
2024-04-28-24,25.2,23.8,92,21.446
2024-04-29-01,25.1,23.7,92,21.324
2024-04-29-02,25.0,23.6,92,21.203
2024-04-29-03,24.7,23.7,94,21.353
2024-04-29-04,24.7,23.3,92,20.844
2024-04-29-05,24.8,23.4,92,20.963
2024-04-29-06,25.0,23.4,91,20.949
2024-04-29-07,25.6,23.7,89,21.288
2024-04-29-08,26.3,23.2,83,20.608
2024-04-29-09,27.0,22.4,76,19.587
2024-04-29-10,28.4,21.5,66,18.455
2024-04-29-11,29.8,21.2,60,18.035
2024-04-29-12,30.4,21.2,58,18.0
2024-04-29-13,31.1,22.7,61,19.678
2024-04-29-14,30.6,22.0,60,18.889
2024-04-29-15,31.2,22.5,60,19.435
2024-04-29-16,30.2,23.2,66,20.343
2024-04-29-17,29.2,23.2,70,20.41
2024-04-29-18,28.7,23.4,73,20.692
2024-04-29-19,28.2,23.8,77,21.232
2024-04-29-20,28.1,24.1,79,21.625
2024-04-29-21,27.7,24.2,81,21.784
2024-04-29-22,27.6,24.3,82,21.923
2024-04-29-23,27.3,24.6,85,22.342
2024-04-29-24,26.8,24.8,89,22.648
2024-04-30-01,26.4,25.0,92,22.95
2024-04-30-02,26.4,25.4,94,23.503
2024-04-30-03,26.2,25.0,93,22.966
2024-04-30-04,26.0,24.6,92,22.439
2024-04-30-05,25.7,23.9,90,21.539
2024-04-30-06,25.3,22.8,86,20.183
2024-04-30-07,26.2,22.7,81,20.0
2024-04-30-08,28.1,23.3,75,20.609
2024-04-30-09,29.9,23.6,69,20.86
2024-04-30-10,30.6,24.0,68,21.319
2024-04-30-11,31.2,22.8,61,19.791
2024-04-30-12,31.8,22.5,58,19.396
2024-04-30-13,32.0,22.7,58,19.62
2024-04-30-14,31.4,23.5,63,20.633
2024-04-30-15,30.9,23.1,63,20.174
2024-04-30-16,30.3,23.3,66,20.46
2024-04-30-17,26.3,21.3,74,18.358
2024-04-30-18,25.9,20.9,74,17.937
2024-04-30-19,24.8,20.9,79,18.003
2024-04-30-20,26.0,21.0,74,18.041
2024-04-30-21,26.8,21.1,71,18.104
2024-04-30-22,26.6,20.2,68,17.139
2024-04-30-23,26.4,20.3,69,17.257
2024-04-30-24,26.5,19.7,66,16.622
2024-05-01-01,26.8,20.2,67,17.128
2024-05-01-02,26.3,20.6,71,17.585
2024-05-01-03,26.6,18.7,62,15.613
2024-05-01-04,25.6,19.0,67,15.962
2024-05-01-05,22.2,21.0,93,18.274
2024-05-01-06,22.0,20.5,91,17.732
2024-05-01-07,24.0,19.1,74,16.148
2024-05-01-08,24.7,19.1,71,16.11
2024-05-01-09,26.7,19.1,63,16.003
2024-05-01-10,28.5,19.5,58,16.308
2024-05-01-11,29.7,18.5,51,15.261
2024-05-01-12,30.0,18.8,51,15.535
2024-05-01-13,28.3,19.8,60,16.626
2024-05-01-14,27.8,20.6,65,17.498
2024-05-01-15,26.9,21.9,74,19.006
2024-05-01-16,24.3,22.9,92,20.374
2024-05-01-17,24.2,22.6,91,20.013
2024-05-01-18,24.5,22.0,86,19.277
2024-05-01-19,25.4,21.7,80,18.87
2024-05-01-20,25.3,22.2,83,19.461
2024-05-01-21,25.0,22.5,86,19.839
2024-05-01-22,24.9,23.0,89,20.456
2024-05-01-23,24.6,23.4,93,20.977
2024-05-01-24,24.4,23.0,92,20.49
2024-05-02-01,24.4,23.2,93,20.74
2024-05-02-02,24.1,22.9,93,20.387
2024-05-02-03,24.0,22.8,93,20.271
2024-05-02-04,23.7,22.5,93,19.926
2024-05-02-05,23.6,22.4,93,19.812
2024-05-02-06,23.6,22.6,94,20.054
2024-05-02-07,23.7,22.5,93,19.926
2024-05-02-08,25.0,22.3,85,19.599
2024-05-02-09,26.8,21.8,74,18.897
2024-05-02-10,28.0,21.6,68,18.593
2024-05-02-11,29.8,22.0,63,18.939
2024-05-02-12,30.0,21.9,62,18.812
2024-05-02-13,30.7,21.5,58,18.315
2024-05-02-14,31.1,23.0,62,20.039
2024-05-02-15,29.1,22.8,69,19.929
2024-05-02-16,28.8,22.6,69,19.708
2024-05-02-17,28.1,21.4,67,18.361
2024-05-02-18,27.4,21.7,71,18.744
2024-05-02-19,26.1,21.6,76,18.711
2024-05-02-20,25.5,21.4,78,18.52
2024-05-02-21,25.2,21.5,80,18.653
2024-05-02-22,25.0,21.5,81,18.665
2024-05-02-23,24.5,21.4,83,18.583
2024-05-02-24,24.3,21.0,82,18.145
2024-05-03-01,24.0,21.1,84,18.275
2024-05-03-02,23.4,20.7,85,17.867
2024-05-03-03,23.2,20.7,86,17.879
2024-05-03-04,22.8,20.5,87,17.684
2024-05-03-05,22.9,20.6,87,17.787
2024-05-03-06,23.1,20.8,87,17.995
2024-05-03-07,23.0,20.5,86,17.672
2024-05-03-08,24.4,20.9,81,18.027
2024-05-03-09,26.9,21.7,73,18.775
2024-05-03-10,28.5,21.6,66,18.562
2024-05-03-11,29.8,22.0,63,18.939
2024-05-03-12,30.5,21.3,58,18.104
2024-05-03-13,30.4,21.2,58,18.0
2024-05-03-14,30.7,20.9,56,17.654
2024-05-03-15,31.0,21.5,57,18.297
2024-05-03-16,30.0,21.4,60,18.246
2024-05-03-17,29.3,22.3,66,19.32
2024-05-03-18,27.3,21.8,72,18.865
2024-05-03-19,26.8,21.8,74,18.897
2024-05-03-20,26.5,22.4,78,19.62
2024-05-03-21,25.6,22.5,83,19.799
2024-05-03-22,25.2,22.3,84,19.586
2024-05-03-23,25.1,22.0,83,19.238
2024-05-03-24,24.9,22.0,84,19.251
2024-05-04-01,24.8,22.1,85,19.375
2024-05-04-02,24.7,22.2,86,19.5
2024-05-04-03,24.3,22.2,88,19.526
2024-05-04-04,24.1,22.0,88,19.303
2024-05-04-05,24.1,22.0,88,19.303
2024-05-04-06,24.1,22.2,89,19.539
2024-05-04-07,24.8,22.3,86,19.612
2024-05-04-08,26.6,22.5,78,19.733
2024-05-04-09,28.1,22.8,73,19.995
2024-05-04-10,29.5,22.2,65,19.191
2024-05-04-11,30.4,21.8,60,18.673
2024-05-04-12,29.8,19.2,53,15.938
2024-05-04-13,30.9,21.1,56,17.86
2024-05-04-14,30.6,20.9,56,17.659
2024-05-04-15,30.5,22.2,61,19.127
2024-05-04-16,30.1,22.0,62,18.921
2024-05-04-17,29.3,22.3,66,19.32
2024-05-04-18,28.4,22.7,71,19.855
2024-05-04-19,27.7,23.1,76,20.389
2024-05-04-20,27.4,23.4,79,20.782
2024-05-04-21,27.4,23.4,79,20.782
2024-05-04-22,26.9,23.2,80,20.567
2024-05-04-23,26.6,23.3,82,20.712
2024-05-04-24,26.6,23.5,83,20.963
2024-05-05-01,26.4,23.5,84,20.977
2024-05-05-02,26.2,23.5,85,20.991
2024-05-05-03,25.9,23.8,88,21.395
2024-05-05-04,25.9,23.6,87,21.139
2024-05-05-05,26.3,23.2,83,20.608
2024-05-05-06,25.9,23.2,85,20.636
2024-05-05-07,26.7,23.0,80,20.333
2024-05-05-08,27.8,23.0,75,20.259
2024-05-05-09,29.2,23.6,72,20.909
2024-05-05-10,29.9,23.9,70,21.24
2024-05-05-11,29.3,24.6,76,22.194
2024-05-05-12,29.7,25.2,77,22.972
2024-05-05-13,31.8,24.4,65,21.75
2024-05-05-14,31.3,24.2,66,21.527
2024-05-05-15,30.3,25.4,75,23.201
2024-05-05-16,30.0,26.0,79,24.065
2024-05-05-17,29.5,25.9,81,23.962
2024-05-05-18,28.8,26.2,86,24.447
2024-05-05-19,28.7,26.1,86,24.312
2024-05-05-20,28.4,26.2,88,24.48
2024-05-05-21,28.2,26.0,88,24.208
2024-05-05-22,28.1,25.3,85,23.232
2024-05-05-23,28.1,24.1,79,21.625
2024-05-05-24,27.9,24.1,80,21.64
2024-05-06-01,27.7,24.2,81,21.784
2024-05-06-02,27.3,25.1,88,23.018
2024-05-06-03,26.7,25.1,91,23.064
2024-05-06-04,26.8,24.5,87,22.246
2024-05-06-05,26.7,23.0,80,20.333
2024-05-06-06,27.0,23.1,79,20.436
2024-05-06-07,27.3,24.0,82,21.553
2024-05-06-08,29.0,22.8,69,19.936
2024-05-06-09,29.4,23.4,70,20.645
2024-05-06-10,29.9,23.4,68,20.611
2024-05-06-11,31.4,23.5,63,20.633
2024-05-06-12,31.3,24.0,65,21.27
2024-05-06-13,31.5,23.1,61,20.134
2024-05-06-14,31.4,23.0,61,20.019
2024-05-06-15,30.8,23.0,63,20.059
2024-05-06-16,30.2,22.9,65,19.977
2024-05-06-17,29.5,23.0,68,20.145
2024-05-06-18,28.9,23.8,74,21.183
2024-05-06-19,27.7,24.4,82,22.047
2024-05-06-20,27.5,24.2,82,21.799
2024-05-06-21,27.2,24.1,83,21.69
2024-05-06-22,27.0,24.3,85,21.966
2024-05-06-23,27.0,24.3,85,21.966
2024-05-06-24,26.6,24.5,88,22.261
2024-05-07-01,26.6,24.3,87,21.996
2024-05-07-02,26.4,23.3,83,20.726
2024-05-07-03,26.3,24.2,88,21.886
2024-05-07-04,26.2,24.1,88,21.763
2024-05-07-05,26.1,24.1,89,21.77
2024-05-07-06,26.1,24.0,88,21.64
2024-05-07-07,26.4,23.9,86,21.488
2024-05-07-08,27.7,23.9,80,21.396
2024-05-07-09,28.7,23.8,75,21.197
2024-05-07-10,30.0,23.7,69,20.979
2024-05-07-11,31.3,22.6,60,19.546
2024-05-07-12,31.9,23.7,62,20.849
2024-05-07-13,31.0,22.9,62,19.925
2024-05-07-14,32.0,21.9,55,18.689
2024-05-07-15,31.4,21.9,57,18.725
2024-05-07-16,31.6,22.1,57,18.943
2024-05-07-17,30.4,22.1,61,19.017
2024-05-07-18,29.4,22.9,68,20.03
2024-05-07-19,28.9,22.4,68,19.464
2024-05-07-20,28.4,22.9,72,20.097
2024-05-07-21,27.6,23.2,77,20.519
2024-05-07-22,26.9,23.0,79,20.32
2024-05-07-23,26.4,22.3,78,19.507
2024-05-07-24,25.8,22.3,81,19.547
2024-05-08-01,25.9,22.6,82,19.899
2024-05-08-02,26.0,22.7,82,20.014
2024-05-08-03,25.5,22.6,84,19.926
2024-05-08-04,25.7,22.6,83,19.913
2024-05-08-05,25.5,22.8,85,20.169
2024-05-08-06,25.5,22.4,83,19.686
2024-05-08-07,26.5,22.8,80,20.102
2024-05-08-08,27.8,23.0,75,20.259
2024-05-08-09,28.3,22.6,71,19.741
2024-05-08-10,29.7,22.7,66,19.769
2024-05-08-11,31.5,21.7,56,18.492
2024-05-08-12,31.0,22.9,62,19.925
2024-05-08-13,30.4,22.3,62,19.25
2024-05-08-14,29.7,21.9,63,18.83
2024-05-08-15,29.9,21.9,62,18.818
2024-05-08-16,30.8,19.5,51,16.185
2024-05-08-17,30.9,18.3,47,15.012
2024-05-08-18,30.3,21.4,59,18.228
2024-05-08-19,30.1,18.9,51,15.627
2024-05-08-20,28.6,23.3,73,20.575
2024-05-08-21,28.6,19.6,58,16.404
2024-05-08-22,28.1,20.4,63,17.266
2024-05-08-23,27.7,22.0,71,19.072
2024-05-08-24,27.0,22.4,76,19.587
2024-05-09-01,26.3,22.0,77,19.161
2024-05-09-02,26.4,22.3,78,19.507
2024-05-09-03,26.7,21.7,74,18.788
2024-05-09-04,26.5,22.2,77,19.383
2024-05-09-05,26.0,22.3,80,19.534
2024-05-09-06,26.2,22.7,81,20.0
2024-05-09-07,26.7,22.6,78,19.846
2024-05-09-08,27.5,22.9,76,20.157
2024-05-09-09,27.3,23.6,80,21.041
2024-05-09-10,27.8,23.2,76,20.505
2024-05-09-11,28.3,22.1,69,19.15
2024-05-09-12,28.8,21.1,63,17.984
2024-05-09-13,28.5,20.8,63,17.673
2024-05-09-14,29.3,20.8,60,17.627
2024-05-09-15,29.4,20.6,59,17.405
2024-05-09-16,29.7,21.1,60,17.931
2024-05-09-17,28.9,20.4,60,17.22
2024-05-09-18,27.5,18.0,56,14.898
2024-05-09-19,26.2,18.1,61,15.057
2024-05-09-20,25.3,18.0,64,15.008
2024-05-09-21,24.8,18.3,67,15.319
2024-05-09-22,24.3,18.3,69,15.345
2024-05-09-23,24.0,18.7,72,15.75
2024-05-09-24,23.9,19.0,74,16.053
2024-05-10-01,23.6,18.9,75,15.969
2024-05-10-02,23.6,19.3,77,16.373
2024-05-10-03,23.7,19.2,76,16.265
2024-05-10-04,23.3,18.6,75,15.689
2024-05-10-05,23.3,18.8,76,15.886
2024-05-10-06,23.6,19.3,77,16.373
2024-05-10-07,25.0,19.4,71,16.397
2024-05-10-08,27.0,19.9,65,16.802
2024-05-10-09,27.3,19.9,64,16.785
2024-05-10-10,28.0,20.1,62,16.954
2024-05-10-11,28.3,20.3,62,17.148
2024-05-10-12,29.3,19.9,57,16.674
2024-05-10-13,30.5,19.9,53,16.608
2024-05-10-14,29.7,20.6,58,17.388
2024-05-10-15,29.0,20.5,60,17.321
2024-05-10-16,28.6,20.9,63,17.776
2024-05-10-17,27.9,21.5,68,18.486
2024-05-10-18,26.9,21.0,70,17.987
2024-05-10-19,26.1,20.9,73,17.925
2024-05-10-20,25.9,20.5,72,17.501
2024-05-10-21,25.7,20.3,72,17.297
2024-05-10-22,25.7,19.8,70,16.77
2024-05-10-23,25.5,21.2,77,18.295
2024-05-10-24,25.8,20.6,73,17.615
2024-05-11-01,25.7,20.5,73,17.512
2024-05-11-02,25.7,20.3,72,17.297
2024-05-11-03,25.7,20.7,74,17.729
2024-05-11-04,25.2,20.9,77,17.979
2024-05-11-05,24.9,20.6,77,17.668
2024-05-11-06,25.2,20.9,77,17.979
2024-05-11-07,26.0,21.0,74,18.041
2024-05-11-08,26.7,21.2,72,18.222
2024-05-11-09,28.6,21.1,64,17.996
2024-05-11-10,29.5,20.7,59,17.507
2024-05-11-11,30.4,21.0,57,17.78
2024-05-11-12,30.3,20.6,56,17.353
2024-05-11-13,31.4,20.1,51,16.765
2024-05-11-14,31.6,19.9,50,16.548
2024-05-11-15,31.9,20.2,50,16.841
2024-05-11-16,31.4,18.8,47,15.463
2024-05-11-17,30.6,18.7,49,15.408
2024-05-11-18,29.7,18.5,51,15.261
2024-05-11-19,28.9,18.4,53,15.206
2024-05-11-20,28.5,18.3,54,15.131
2024-05-11-21,28.2,18.9,57,15.726
2024-05-11-22,28.1,18.8,57,15.633
2024-05-11-23,28.0,19.0,58,15.835
2024-05-11-24,27.8,18.8,58,15.648
2024-05-12-01,28.1,16.7,50,13.696
2024-05-12-02,27.9,18.1,55,14.972
2024-05-12-03,27.8,19.1,59,15.944
2024-05-12-04,27.6,19.4,61,16.256
2024-05-12-05,27.3,19.7,63,16.578
2024-05-12-06,27.3,20.2,65,17.099
2024-05-12-07,27.8,20.4,64,17.283
2024-05-12-08,28.8,20.6,61,17.44
2024-05-12-09,30.0,20.9,58,17.694
2024-05-12-10,31.3,21.5,56,18.279
2024-05-12-11,31.4,21.9,57,18.725
2024-05-12-12,32.1,22.5,57,19.377
2024-05-12-13,30.7,22.6,62,19.585
2024-05-12-14,30.2,23.2,66,20.343
2024-05-12-15,29.9,23.1,67,20.241
2024-05-12-16,29.2,23.6,72,20.909
2024-05-12-17,29.1,24.0,74,21.425
2024-05-12-18,28.9,24.3,76,21.828
2024-05-12-19,28.8,24.6,78,22.231
2024-05-12-20,28.4,24.8,81,22.528
2024-05-12-21,28.2,24.6,81,22.275
2024-05-12-22,27.8,24.5,82,22.172
2024-05-12-23,27.9,24.3,81,21.901
2024-05-12-24,27.7,24.2,81,21.784
2024-05-13-01,27.5,24.4,83,22.062
2024-05-13-02,27.5,24.2,82,21.799
2024-05-13-03,27.2,24.3,84,21.952
2024-05-13-04,27.0,24.3,85,21.966
2024-05-13-05,27.0,24.7,87,22.498
2024-05-13-06,25.7,24.3,92,22.062
2024-05-13-07,25.3,23.7,91,21.31
2024-05-13-08,25.7,23.2,86,20.649
2024-05-13-09,26.4,22.7,80,19.987
2024-05-13-10,26.6,21.6,74,18.68
2024-05-13-11,27.7,21.5,69,18.498
2024-05-13-12,28.8,21.3,64,18.206
2024-05-13-13,29.3,20.5,59,17.304
2024-05-13-14,29.4,20.6,59,17.405
2024-05-13-15,28.7,20.5,61,17.338
2024-05-13-16,28.6,19.6,58,16.404
2024-05-13-17,27.2,19.6,63,16.481
2024-05-13-18,25.8,19.0,66,15.951
2024-05-13-19,24.6,18.1,67,15.138
2024-05-13-20,23.4,17.6,70,14.728
2024-05-13-21,23.0,17.0,69,14.199
2024-05-13-22,22.7,16.3,67,13.595
2024-05-13-23,22.2,15.8,67,13.19
2024-05-13-24,22.1,15.7,67,13.111
2024-05-14-01,22.2,15.8,67,13.19
2024-05-14-02,22.0,15.4,66,12.865
2024-05-14-03,21.8,15.7,68,13.124
2024-05-14-04,21.8,15.7,68,13.124
2024-05-14-05,21.4,15.5,69,12.975
2024-05-14-06,21.9,16.0,69,13.374
2024-05-14-07,22.0,16.1,69,13.455
2024-05-14-08,23.1,16.7,67,13.927
2024-05-14-09,24.5,17.0,63,14.128
2024-05-14-10,25.5,18.5,65,15.476
2024-05-14-11,27.0,19.1,62,15.987
2024-05-14-12,28.3,19.8,60,16.626
2024-05-14-13,27.9,19.7,61,16.545
2024-05-14-14,27.7,20.3,64,17.182
2024-05-14-15,27.4,19.5,62,16.368
2024-05-14-16,28.4,19.4,58,16.212
2024-05-14-17,28.0,20.3,63,17.165
2024-05-14-18,27.3,20.4,66,17.312
2024-05-14-19,26.8,19.7,65,16.606
2024-05-14-20,25.8,19.5,68,16.455
2024-05-14-21,25.1,19.5,71,16.494
2024-05-14-22,24.4,19.5,74,16.533
2024-05-14-23,24.2,19.3,74,16.34
2024-05-14-24,23.9,19.2,75,16.254
2024-05-15-01,23.2,19.2,78,16.293
2024-05-15-02,23.1,19.1,78,16.197
2024-05-15-03,22.5,18.9,80,16.029
2024-05-15-04,22.4,19.0,81,16.135
2024-05-15-05,22.7,19.1,80,16.219
2024-05-15-06,22.7,19.1,80,16.219
2024-05-15-07,22.9,19.3,80,16.411
2024-05-15-08,24.1,19.6,76,16.653
2024-05-15-09,26.6,20.2,68,17.139
2024-05-15-10,28.1,20.9,65,17.806
2024-05-15-11,28.6,21.1,64,17.996
2024-05-15-12,30.2,21.0,58,17.792
2024-05-15-13,30.8,21.0,56,17.757
2024-05-15-14,29.4,21.1,61,17.949
2024-05-15-15,29.5,20.9,60,17.724
2024-05-15-16,29.4,20.9,60,17.729
2024-05-15-17,28.9,20.1,59,16.904
2024-05-15-18,28.1,19.6,60,16.432
2024-05-15-19,27.6,18.9,59,15.757
2024-05-15-20,26.7,18.8,62,15.706
2024-05-15-21,25.9,17.6,60,14.605
2024-05-15-22,25.9,17.3,59,14.331
2024-05-15-23,26.0,17.7,60,14.693
2024-05-15-24,26.0,17.9,61,14.879
2024-05-16-01,24.9,16.6,60,13.755
2024-05-16-02,25.3,15.9,56,13.137
2024-05-16-03,25.3,15.9,56,13.137
2024-05-16-04,25.1,16.0,57,13.23
2024-05-16-05,24.8,14.3,52,11.872
2024-05-16-06,25.2,12.8,46,10.753
2024-05-16-07,25.8,12.7,44,10.662
2024-05-16-08,26.2,13.4,45,11.146
2024-05-16-09,27.6,16.9,52,13.894
2024-05-16-10,29.2,18.1,51,14.908
2024-05-16-11,30.3,18.4,49,15.136
2024-05-16-12,30.4,19.2,51,15.906
2024-05-16-13,30.7,19.1,50,15.792
2024-05-16-14,30.3,19.7,53,16.414
2024-05-16-15,30.6,20.0,53,16.706
2024-05-16-16,30.6,19.7,52,16.398
2024-05-16-17,28.9,19.8,58,16.593
2024-05-16-18,28.0,20.3,63,17.165
2024-05-16-19,26.7,19.8,66,16.714
2024-05-16-20,26.5,18.9,63,15.815
2024-05-16-21,26.1,18.8,64,15.737
2024-05-16-22,25.8,19.0,66,15.951
2024-05-16-23,26.1,19.3,66,16.236
2024-05-16-24,25.9,19.1,66,16.045
2024-05-17-01,25.5,19.4,69,16.37
2024-05-17-02,25.1,19.5,71,16.494
2024-05-17-03,25.1,19.7,72,16.7
2024-05-17-04,25.0,19.4,71,16.397
2024-05-17-05,24.7,20.2,76,17.249
2024-05-17-06,24.8,20.3,76,17.35
2024-05-17-07,24.8,19.9,74,16.926
2024-05-17-08,25.2,19.8,72,16.799
2024-05-17-09,25.7,20.1,71,17.085
2024-05-17-10,26.3,20.2,69,17.156
2024-05-17-11,27.8,19.6,61,16.448
2024-05-17-12,28.6,19.6,58,16.404
2024-05-17-13,29.4,15.6,43,12.713
2024-05-17-14,28.4,20.4,62,17.249
2024-05-17-15,27.9,20.2,63,17.065
2024-05-17-16,27.5,20.8,67,17.732
2024-05-17-17,27.5,19.3,61,16.16
2024-05-17-18,27.5,19.9,63,16.774
2024-05-17-19,26.7,18.6,61,15.511
2024-05-17-20,26.1,18.5,63,15.445
2024-05-17-21,25.9,18.6,64,15.552
2024-05-17-22,25.9,19.1,66,16.045
2024-05-17-23,25.5,19.4,69,16.37
2024-05-17-24,25.3,19.9,72,16.897
2024-05-18-01,24.8,20.3,76,17.35
2024-05-18-02,24.5,20.6,79,17.692
2024-05-18-03,23.8,20.6,82,17.733
2024-05-18-04,23.9,20.6,82,17.727
2024-05-18-05,23.6,20.7,84,17.855
2024-05-18-06,23.3,21.2,88,18.431
2024-05-18-07,23.4,20.9,86,18.088
2024-05-18-08,24.1,20.6,81,17.715
2024-05-18-09,26.2,21.0,73,18.029
2024-05-18-10,28.0,19.3,59,16.133
2024-05-18-11,27.8,19.9,62,16.757
2024-05-18-12,29.7,17.6,48,14.422
2024-05-18-13,29.1,19.5,56,16.276
2024-05-18-14,28.4,20.4,62,17.249
2024-05-18-15,29.1,20.0,58,16.788
2024-05-18-16,27.8,19.6,61,16.448
2024-05-18-17,26.8,21.3,72,18.328
2024-05-18-18,27.0,18.9,61,15.788
2024-05-18-19,25.9,19.6,68,16.552
2024-05-18-20,25.6,22.5,83,19.799
2024-05-18-21,25.4,21.9,81,19.102
2024-05-18-22,25.2,21.7,81,18.882
2024-05-18-23,25.3,22.6,85,19.939
2024-05-18-24,25.4,22.1,82,19.336
2024-05-19-01,25.4,22.1,82,19.336
2024-05-19-02,25.6,22.1,81,19.323
2024-05-19-03,25.7,21.6,78,18.736
2024-05-19-04,25.7,21.8,79,18.966
2024-05-19-05,25.6,22.5,83,19.799
2024-05-19-06,25.4,22.5,84,19.812
2024-05-19-07,25.7,22.4,82,19.672
2024-05-19-08,25.9,22.4,81,19.659
2024-05-19-09,27.3,21.8,72,18.865
2024-05-19-10,29.5,18.9,53,15.658
2024-05-19-11,30.3,16.0,42,13.004
2024-05-19-12,30.4,17.9,47,14.663
2024-05-19-13,30.6,15.9,41,12.908
2024-05-19-14,30.9,14.1,36,11.484
2024-05-19-15,31.4,12.8,32,10.534
